L,threshold,log10_fl,log10_fi
100000000,0.01,-0.5167268193730913,-3.6923076923078497
100000000,0.01,-0.4615384615384617,-3.74749605014253
100000000,0.01,-0.36288066552693865,-3.8461538461541505
100000000,0.01,-0.3076923076923075,-3.901342203988672
100000000,0.01,-0.2090345116807844,-4.0
100000000,0.01,-0.15384615384615327,-4.055188357834632
100000000,0.01,-0.05518835783463247,-4.153846153846153
100000000,0.01,0.0,-4.209034511680784
100000000,0.1,-3.1876596754230686,0.0
100000000,0.1,-3.0769230769231246,-0.11073659849992949
100000000,0.1,-3.0338135215768913,-0.15384615384615327
100000000,0.1,-2.9230769230769362,-0.2645827523460833
100000000,0.1,-2.879967367730714,-0.30769230769230754
100000000,0.1,-2.769230769230792,-0.41842890619223694
100000000,0.1,-2.7261212138845625,-0.4615384615384618
100000000,0.1,-2.6153846153846203,-0.5722750600383912
100000000,0.1,-2.572275060038396,-0.6153846153846151
100000000,0.1,-2.461538461538464,-0.726121213884545
100000000,0.1,-2.41842890619224,-0.7692307692307692
100000000,0.1,-2.307692307692311,-0.8799673677306987
100000000,0.1,-2.2645827523460866,-0.9230769230769227
100000000,0.1,-2.1538461538461555,-1.0338135215768527
100000000,0.1,-2.1107365984999307,-1.0769230769230769
100000000,0.1,-2.0,-1.1876596754230064
100000000,0.1,-1.956890444653776,-1.230769230769231
100000000,0.1,-1.846153846153849,-1.3415058292691608
100000000,0.1,-1.8030442908076247,-1.3846153846153848
100000000,0.1,-1.6923076923076936,-1.4953519831153148
100000000,0.1,-1.6491981369614692,-1.5384615384615385
100000000,0.1,-1.5384615384615385,-1.6491981369614692
100000000,0.1,-1.4953519831153148,-1.6923076923076936
100000000,0.1,-1.3846153846153848,-1.8030442908076247
100000000,0.1,-1.3415058292691608,-1.846153846153849
100000000,0.1,-1.230769230769231,-1.956890444653776
100000000,0.1,-1.1876596754230064,-2.0
100000000,0.1,-1.0769230769230769,-2.1107365984999307
100000000,0.1,-1.0338135215768527,-2.1538461538461555
100000000,0.1,-0.9230769230769227,-2.2645827523460866
100000000,0.1,-0.8799673677306987,-2.307692307692311
100000000,0.1,-0.7692307692307692,-2.41842890619224
100000000,0.1,-0.726121213884545,-2.461538461538464
100000000,0.1,-0.6153846153846151,-2.572275060038396
100000000,0.1,-0.5722750600383912,-2.6153846153846203
100000000,0.1,-0.4615384615384618,-2.7261212138845625
100000000,0.1,-0.41842890619223694,-2.769230769230792
100000000,0.1,-0.30769230769230754,-2.879967367730714
100000000,0.1,-0.2645827523460833,-2.9230769230769362
100000000,0.1,-0.15384615384615327,-3.0338135215768913
100000000,0.1,-0.11073659849992949,-3.0769230769231246
100000000,0.1,0.0,-3.187659675423068
100000000,0.5,-2.3664840676606733,0.0
100000000,0.5,-2.307692307692311,-0.05879175996836255
100000000,0.5,-2.212637913814519,-0.15384615384615327
100000000,0.5,-2.1538461538461555,-0.21263791381451627
100000000,0.5,-2.058791759968363,-0.30769230769230754
100000000,0.5,-2.0,-0.3664840676606701
100000000,0.5,-1.9049456061222099,-0.4615384615384617
100000000,0.5,-1.846153846153849,-0.5203302215068244
100000000,0.5,-1.7510994522760575,-0.615384615384615
100000000,0.5,-1.6923076923076934,-0.6741763753529784
100000000,0.5,-1.597253298429902,-0.7692307692307692
100000000,0.5,-1.5384615384615388,-0.8280225291991318
100000000,0.5,-1.4434071445837482,-0.9230769230769227
100000000,0.5,-1.384615384615385,-0.9818686830452863
100000000,0.5,-1.289560990737594,-1.0769230769230769
100000000,0.5,-1.230769230769231,-1.1357148368914394
100000000,0.5,-1.1357148368914394,-1.230769230769231
100000000,0.5,-1.0769230769230769,-1.289560990737594
100000000,0.5,-0.9818686830452863,-1.384615384615385
100000000,0.5,-0.9230769230769227,-1.4434071445837482
100000000,0.5,-0.8280225291991318,-1.5384615384615388
100000000,0.5,-0.7692307692307692,-1.597253298429902
100000000,0.5,-0.6741763753529786,-1.6923076923076938
100000000,0.5,-0.6153846153846151,-1.7510994522760577
100000000,0.5,-0.5203302215068244,-1.846153846153849
100000000,0.5,-0.4615384615384617,-1.9049456061222099
100000000,0.5,-0.3664840676606701,-2.0
100000000,0.5,-0.30769230769230754,-2.058791759968363
100000000,0.5,-0.21263791381451635,-2.1538461538461555
100000000,0.5,-0.15384615384615327,-2.212637913814519
100000000,0.5,-0.05879175996836255,-2.307692307692311
100000000,0.5,0.0,-2.3664840676606733
