X_gc_pc,Y_gc_pc,Z_gc_pc,R_gc_pc
9357.864388,-3986.768895,2817.742123,10171.723164
4540.758803,1094.032619,3365.502983,4670.695653
8777.091562,1969.752394,-4585.090850,8995.402202
6338.660015,-4058.643443,-2380.710984,7526.698969
11537.633018,-946.024785,-3573.490958,11576.352558
6245.961322,-4329.752916,1750.073241,7599.920602
7720.885479,-2283.946257,-4467.262015,8051.613695
5395.773366,-1831.973858,-3817.285652,5698.289080
11635.787716,206.408925,3600.610052,11637.618331
4364.770295,792.694326,3258.597320,4436.167718
3885.538503,2656.489703,-573.014063,4706.840448
6526.549279,-3707.926469,3006.504049,7506.301632
7691.983687,4608.452212,-1974.454780,8966.852560
11250.996616,763.791100,3870.581164,11276.892378
6550.467347,-3948.817734,2699.281504,7648.645890
4160.311706,788.078679,3001.211245,4234.295867
5982.218521,3196.963685,3246.696942,6782.883991
4519.153841,-2885.462052,2002.165610,5361.776076
6078.328509,240.862203,-4596.511800,6083.098887
11424.159990,408.753918,-3778.278332,11431.470214
7694.181355,-309.224900,5006.424250,7700.392637
7849.651053,3989.956651,-3054.464446,8805.496904
4176.853436,1636.889794,2669.175441,4486.146767
11938.372006,2488.566692,2135.547042,12194.986278
11387.948484,2527.990191,-2876.719376,11665.166312
11107.801415,1580.133199,3728.435679,11219.628924
11035.654141,-2300.277016,-3395.871643,11272.840666
11750.472497,-114.062074,3491.627054,11751.026085
6337.931681,-4203.179310,-2123.328942,7605.004556
11883.607779,3334.099540,-217.030080,12342.461407
11080.134968,4075.139288,76.410079,11805.767706
12099.973168,2030.774310,2326.075819,12269.205148
5636.860043,-1216.843477,-4206.140807,5766.706096
8812.405087,-4691.837898,-1694.635880,9983.577830
7349.975912,-2949.077934,4007.785146,7919.545856
11430.640408,3288.997052,-1899.170214,11894.412207
4400.956583,1761.579973,-2892.527726,4740.420113
5549.721865,268.626280,4322.362773,5556.219295
7882.904999,3506.455724,3604.357343,8627.596592
6374.141618,1326.763008,-4533.339581,6510.758900
10967.039018,-889.129598,-4059.006691,11003.022142
9982.889561,-4374.347161,1651.883400,10899.220021
5380.153326,3784.953671,1862.694629,6578.139867
5189.388109,3225.932926,2519.682621,6110.351233
9054.343667,-4859.634118,927.283053,10276.048997
11198.920536,52.377115,-3985.123620,11199.043019
11079.177829,-2211.343151,-3417.616033,11297.708613
10725.882448,-775.806033,4236.238498,10753.902979
6201.131359,-4351.035749,1651.355566,7575.324562
9012.086069,-4434.181195,2206.894045,10043.886607
8156.298186,2239.579060,-4506.796539,8458.186239
5436.285789,-1728.711864,3893.515195,5704.528717
3957.492822,323.548181,-2810.424478,3970.696772
3889.180881,-2697.412723,-407.306141,4733.050108
11841.929079,2832.629889,-1864.494725,12176.004123
8572.342412,2033.479811,-4582.521751,8810.226704
4150.603916,2067.494064,2302.543131,4637.029714
11143.631414,3576.373769,-1843.806847,11703.459763
5667.396963,3479.668263,2682.527099,6650.374392
5497.669012,4263.976663,-518.408446,6957.432109
10903.315247,-1288.666178,3991.226711,10979.205066
11155.361873,3953.481052,718.680524,11835.206418
11239.938979,2455.798643,-3095.089059,11505.093447
5688.582490,1989.042896,-3930.827095,6026.297569
12122.343544,2042.707899,-2272.872480,12293.244834
7409.545810,4370.856248,2392.433632,8602.659673
7254.580197,4957.322563,154.086206,8786.579586
9089.785534,-4240.160117,-2539.847478,10030.112605
11398.757769,3815.635861,149.869323,12020.430761
7580.551668,4590.857032,1988.551204,8862.320908
9259.224920,-4257.348442,-2437.032618,10191.087375
7928.925459,358.465737,5015.139479,7937.024418
6104.668217,-3763.731001,2660.252788,7171.655673
9613.599233,-3268.137694,3530.290461,10153.916200
10665.305544,-3142.229840,-2996.638925,11118.558842
4704.550918,-2068.033454,3066.759926,5139.023419
7082.788047,-1835.285788,4572.275477,7316.704206
9588.196857,-4607.202313,1408.902682,10637.661026
6980.436042,-2251.106400,4355.635442,7334.437085
9348.115563,-4463.505078,1982.975323,10359.060872
4049.215604,-64.213251,-2961.100656,4049.724725
11508.466114,-1309.846615,3487.891582,11582.766961
4362.180495,1976.855958,-2697.760874,4789.214774
5173.365292,-2071.769031,-3517.330765,5572.785243
9295.102735,-4896.607995,76.817738,10505.984234
5349.970554,4155.609198,-602.508152,6774.309761
3928.256036,873.563878,-2638.473295,4024.215368
4052.622902,1974.920642,2212.936332,4508.221814
5736.730377,-4332.377891,923.164645,7188.850646
3953.494276,1859.691614,2116.829926,4369.046794
5303.579523,-810.563389,-4094.036930,5365.162510
4220.678039,-2857.761648,1398.234406,5097.148688
5566.272220,879.230766,-4245.976680,5635.284658
11389.862451,3516.811342,1514.505589,11920.441630
9067.222566,-4456.226783,2135.822726,10103.092705
7130.511929,-1754.138635,4610.901200,7343.105795
5980.225973,-3350.688659,-3087.729030,6854.941077
7930.647447,-456.890086,5011.391884,7943.797422
11559.940637,3674.465054,165.460068,12129.877203
3818.600026,2604.056520,252.313845,4621.992700
4340.427304,-3112.929481,-1169.085103,5341.314364
10182.193984,-3477.819575,2998.924925,10759.753870
3927.207839,804.841327,2667.031489,4008.831622
8949.430659,-4838.150350,1123.277447,10173.495364
5570.632273,547.390905,-4307.126410,5597.461989
11221.515797,3968.783141,20.320907,11902.674339
5497.339104,-873.417219,-4202.744278,5566.290943
11242.070953,117.961880,3951.753110,11242.689816
10034.705567,-3838.055919,-2633.732933,10743.648777
8090.952416,-809.236474,-4965.344787,8131.320598
5869.558189,-4150.944864,1746.818461,7189.023341
11815.329212,1121.889183,-3234.612069,11868.472510
10253.671624,-2274.620607,-3956.318540,10502.936765
8229.875460,-1005.932419,4932.727979,8291.124780
3954.851457,1287.204489,2510.151049,4159.055836
3776.606534,2496.056882,499.544939,4526.925764
7780.331081,4749.474825,1635.395354,9115.429932
11774.164893,305.349050,-3446.924880,11778.123661
8483.911506,1640.412413,-4744.201820,8641.047814
9537.270168,-3361.561660,-3465.503875,10112.349828
4243.794507,-2874.062590,-1418.571346,5125.429502
9071.089020,-4941.972109,133.825794,10329.944063
6555.922362,-3618.218561,-3128.552374,7488.098796
9703.703164,-3892.885260,-2772.488465,10455.448854
9425.994356,-3570.611888,3296.773165,10079.615016
4494.612198,89.468907,3486.430696,4495.502585
6096.102728,-3543.708215,2946.627093,7051.264879
11484.450259,3260.025087,-1843.665861,11938.189197
5862.225505,3084.756720,-3276.005794,6624.304634
10114.142781,-3140.340406,3390.208092,10590.449568
5931.666362,-4261.501210,1545.323740,7303.770149
6248.930644,-3953.734530,2492.913449,7394.670441
6071.191762,-4240.517622,-1774.830811,7405.495197
12038.885436,3144.810749,370.431314,12442.853258
9154.196235,-4413.331966,2195.647933,10162.519754
10070.066513,-3920.089886,2480.558013,10806.171584
9585.058089,-4336.852789,2098.414792,10520.533764
3924.029926,64.230286,-2777.189350,3924.555566
10930.474790,-2376.549430,-3436.372193,11185.851167
11873.155271,2839.475921,-1797.582794,12207.966235
11348.184394,3382.329386,1867.627907,11841.513464
7563.193007,4700.608592,1715.405601,8904.920527
9563.843882,-4469.887607,1805.848371,10556.846358
3921.352010,1619.869086,-2254.833062,4242.755878
5716.386485,3697.273221,-2430.385286,6807.856029
5826.130221,3774.527616,-2413.591577,6941.963128
10078.955392,-3276.729626,3278.959230,10598.221494
4812.188346,-1931.846699,-3262.259741,5185.478604
11737.713400,973.381935,3363.163964,11778.004426
3964.129575,842.957644,-2713.070024,4052.764597
6881.289639,-3495.861003,3399.304018,7718.367136
11793.960728,2430.095959,2438.233599,12041.713998
11374.170964,2162.195471,3180.503700,11577.860526
4163.276791,-3095.123118,-282.298248,5187.741392
5997.661523,1381.170506,4349.248213,6154.638553
6281.334790,1777.574971,-4336.323470,6528.011912
10601.151387,-3180.252077,-3018.393138,11067.900163
3860.570190,1739.154448,-2043.585294,4234.224886
3718.848089,2134.610415,1192.389238,4287.935720
11326.912743,-638.420023,-3828.319235,11344.890145
11092.289472,2002.894587,-3535.665853,11271.666800
12027.151330,2596.596102,1836.053503,12304.254567
5443.583194,-1158.696646,-4099.816604,5565.534647
3891.197139,2182.539819,-1631.114730,4461.490249
8252.474845,-466.397803,-5012.244230,8265.643833
4375.039403,1812.327261,-2828.961737,4735.556976
6136.783874,-3574.542621,2933.383494,7101.934332
4307.112553,-3095.351446,1112.127185,5304.000294
4237.393063,-401.036160,3176.192905,4256.328227
4045.151516,364.770602,-2933.637178,4061.564770
10881.615539,-1217.593115,-4027.872513,10949.524635
7277.862160,-1723.218923,4651.045555,7479.088251
11683.286413,2085.021019,-2880.918274,11867.876561
10939.422880,-1414.522296,-3928.189013,11030.496193
7404.931771,-1860.113299,4620.015558,7634.987624
8002.253561,2270.480553,4490.754300,8318.121423
5665.155376,2772.184463,3409.157145,6307.058913
9165.193721,-4590.885269,-1782.837314,10250.707463
8167.842366,64.941589,5034.513858,8168.100533
10941.890930,-840.690523,-4083.312235,10974.139496
8544.616449,2781.866315,-4172.787446,8986.058672
6743.994779,-2499.732216,4148.018474,7192.365864
5623.751398,419.740106,4352.823481,5639.393721
3887.933951,2545.341853,956.903775,4647.020073
7967.821400,-1190.609684,-4888.906925,8056.285079
4503.241608,-2282.760713,2647.992580,5048.780195
8213.267030,-1100.803075,4912.316098,8286.707592
5499.760699,3837.723928,1940.500675,6706.377017
7556.893491,4228.410860,-2674.825998,8659.451347
8229.645852,4982.011225,715.287896,9620.161469
3994.189182,-2798.015643,-702.751766,4876.724183
11067.411410,3528.763501,2057.925828,11616.357741
6565.521390,-2678.751734,-3970.010225,7090.964813
8780.925062,-4982.834660,238.209418,10096.201572
11134.674147,1927.106682,3538.872621,11300.208339
4854.356012,-2567.136266,2845.955332,5491.353285
8579.539707,1284.815619,-4842.993084,8675.209090
4225.248424,-2963.468891,1162.965790,5160.898382
4969.900281,-2475.932335,3043.679248,5552.490407
11678.833507,238.947005,-3550.437258,11681.277659
12018.588222,3186.750850,-31.383996,12433.898979
5698.377060,-4061.798963,-1731.578275,6997.836232
11605.350495,2964.968426,2096.389790,11978.113286
11360.102276,1054.268024,3704.787618,11408.917775
9359.289558,-3711.283538,3172.448971,10068.263332
6048.579235,300.976429,4577.939914,6056.062877
5055.321880,3992.200887,-42.443884,6441.579560
5772.545152,-853.959630,4368.276285,5835.368419
9981.889434,-4240.299344,1971.089454,10845.195028
7810.167902,-1068.888142,-4908.116568,7882.971807
8581.339502,-4896.259004,-1068.810192,9879.915985
8040.661943,4430.826832,2386.033752,9180.657433
5908.112153,504.004747,-4496.256803,5929.570810
11296.350711,1856.395526,-3435.596912,11447.870707
11000.709190,-2284.525024,3437.336237,11235.419764
5954.590250,2023.782448,-4066.374217,6289.104900
4715.643906,-2887.507470,-2321.427487,5529.466234
11300.859861,2004.029803,-3348.179365,11477.176005
9370.875847,-4799.251835,882.469876,10528.348984
8060.241247,933.363883,-4945.223921,8114.102359
11035.492310,-1339.158115,-3883.858895,11116.448847
9932.830943,-4414.910089,-1612.458189,10869.800442
9467.526707,-4731.844558,-1073.071651,10584.158676
5506.802918,3362.501655,2681.910837,6452.231843
5868.462551,-3813.183364,2387.949787,6998.515563
4913.911991,3875.672813,-99.664301,6258.384041
5382.898218,-2017.412957,-3707.112754,5748.525747
4107.489963,3007.374602,-388.763849,5090.753952
6920.527495,-3157.345420,3731.511182,7606.742464
7417.311114,4813.099825,-1291.812995,8842.083131
8709.816240,1113.551626,4874.708284,8780.711598
10596.257372,-3240.395671,2952.210228,11080.651353
10507.789003,-3150.316412,-3120.832257,10969.873437
7781.359974,4720.351662,1719.153865,9101.169312
5987.587647,-3657.171587,2721.760719,7016.132114
10521.791251,-2016.155973,3936.396667,10713.215019
8484.398843,1049.879334,4909.927994,8549.109331
11197.604593,-1998.170694,3451.472732,11374.490527
4564.715669,249.306410,3552.390086,4571.518656
8987.988598,-4780.023235,1312.514497,10180.007916
6005.371062,1627.514274,-4267.772745,6222.000025
4239.030943,-2963.892042,1210.984590,5172.430703
11602.764124,3430.206432,-1215.856076,12099.192183
5459.625062,-4165.128125,-957.553778,6867.007944
6193.040870,-3302.391057,-3273.891789,7018.514224
11828.816305,1553.791003,3026.249685,11930.430070
6787.375902,-3338.097740,-3527.766393,7563.819680
8209.616213,5032.460296,-139.381018,9629.301896
11887.743124,3321.579215,369.432709,12343.067895
5512.579390,3222.559296,2853.953157,6385.406795
5223.048170,-4058.831911,692.522436,6614.706998
10404.677898,-1918.371389,4058.938241,10580.050612
11038.687868,-733.185443,4038.865027,11063.010022
4864.629817,-2677.430478,2745.416375,5552.770229
5335.975592,-4189.602305,-192.716173,6784.202459
4173.978737,-2925.608631,1097.376866,5097.183963
5692.902716,-719.604769,-4347.852304,5738.202885
7767.951213,-1088.733260,4901.139176,7843.876986
8357.590823,3453.736074,-3651.096021,9043.097768
8308.758377,226.201553,5025.064116,8311.836915
7923.494603,4962.394081,815.337490,9349.177597
8793.658424,-4434.997525,-2283.532373,9848.737560
8205.568759,-427.698369,5014.221880,8216.707647
8348.092876,4416.400651,2410.163738,9444.323659
4176.971597,-63.056360,3129.474263,4177.447526
10809.143991,-1441.760189,-4004.004827,10904.873510
11135.108958,3927.225850,911.839748,11807.360178
3698.417315,2124.031081,-1112.507038,4264.950019
4060.150399,1812.498207,2361.740732,4446.343555
10075.018963,-3490.216437,3057.543007,10662.439584
7182.569333,-2454.268961,4292.687412,7590.305551
5747.079574,-4060.944256,1786.225574,7037.058468
6053.437984,-98.449768,-4587.834557,6054.238498
5365.203777,-3927.341763,-1514.421483,6649.016836
7519.925690,-2707.994775,-4197.568907,7992.654007
3893.525120,239.719007,-2719.133112,3900.897725
10989.903317,3830.030680,1566.341817,11638.174682
7979.079663,4851.404966,-1329.436041,9338.192674
4534.476084,-3147.432521,-1593.483466,5519.764926
3918.405258,2741.594361,429.192604,4782.283911
5481.503422,3720.043493,-2125.544699,6624.620997
11742.610205,83.993029,3492.124301,11742.910595
8749.138193,-4470.285397,-2230.185201,9825.012502
7660.618619,-2193.451382,-4505.236970,7968.456977
6371.406333,-3917.821551,2635.282493,7479.581831
4918.876773,3880.718893,118.714866,6265.407236
10562.392351,-3511.051847,2657.010753,11130.661132
3828.607545,2629.936739,106.846850,4644.868457
4438.696502,1258.010103,-3187.870033,4613.525339
6050.307349,-4291.277384,-1614.395441,7417.633087
6280.761148,-3473.747782,-3145.104791,7177.387007
4121.597307,-3024.060914,459.652731,5111.996554
3969.607356,-2801.495731,516.660069,4858.617179
6827.188302,-3216.113346,3645.680787,7546.779788
11822.202238,3413.020728,-172.194453,12305.006145
8054.813899,4785.578204,1569.947790,9369.193439
7964.173187,4215.117013,-2747.443513,9010.841580
4409.700022,1309.147411,-3140.995488,4599.926219
5393.549628,4102.954116,-1018.890637,6776.769885
7961.398119,4463.293784,-2323.812708,9127.149139
7405.072998,4446.163772,2247.211224,8637.330513
7971.196078,3966.675390,-3092.499137,8903.621767
3979.417914,2862.155702,-99.759169,4901.806014
11596.219800,1331.437411,3392.613490,11672.405032
5703.594245,1234.696915,4235.354824,5835.705937
11635.847849,-932.975207,-3484.109579,11673.191418
10213.516033,-2238.696654,3994.944592,10455.987398
7625.516638,-2253.732180,-4474.987803,7951.591837
11652.093258,3303.891068,-1410.927798,12111.439778
7350.461055,4923.794179,-717.957399,8847.204465
6236.077739,1947.846777,-4239.851821,6533.205387
5465.109156,2976.776611,3066.289560,6223.232044
7885.349278,4945.320063,907.295848,9307.788339
9913.798923,-3736.557695,-2856.261947,10594.586943
5335.419897,3222.797396,-2678.623076,6233.227778
6159.427780,2846.320663,3656.053859,6785.284953
5513.826562,3321.991147,-2735.678821,6437.228327
4499.831275,-2317.157106,-2618.859727,5061.392947
6119.452429,200.989894,4611.598953,6122.752238
5036.779344,-1158.306926,-3806.862717,5168.251260
5419.491883,-1125.351313,-4093.059249,5535.097817
7578.944676,4810.601587,1373.143579,8976.763895
10436.740025,-2386.739404,-3777.732875,10706.169592
11869.476178,2973.978213,1563.528499,12236.380640
5795.058228,3771.257847,2387.098703,6914.122187
11160.832373,-1028.777337,3882.772683,11208.147129
7864.000328,3485.601481,3619.899522,8601.855547
6160.294174,-4318.307447,-1691.316460,7523.098000
5464.174546,-509.950527,4245.751157,5487.918824
4246.709200,1302.866861,2937.636521,4442.071711
5539.259868,3976.284390,-1697.198789,6818.668304
8200.628800,3985.281136,3077.341035,9117.717831
9173.195666,-4340.581493,2326.355933,10148.308550
10949.741514,4133.014267,517.481236,11703.787684
8374.220126,4255.812616,-2679.646620,9393.588438
7492.474930,4807.573721,1350.877011,8902.243856
11326.492663,549.295443,-3843.035280,11339.804298
7952.049988,4051.167727,2988.301744,8924.520097
4381.353117,-3016.237313,1498.247618,5319.205078
4459.459735,2172.579960,2689.875896,4960.532714
5480.814650,3025.787297,3030.258161,6260.568504
5842.527981,1268.687709,4304.915825,5978.687290
11289.821344,-1966.677484,3378.084789,11459.837970
11097.821936,1049.091148,3925.475062,11147.297608
7981.144904,2334.819629,-4456.726747,8315.651308
5044.589140,-1425.555338,-3719.539824,5242.145325
11830.384597,3223.694476,-1089.860926,12261.737470
9464.049710,-3471.616236,-3390.924107,10080.692248
10966.838640,3998.313619,1115.125232,11672.962844
11561.820861,3508.967867,1080.130614,12082.572455
4021.349078,1883.696275,-2235.639754,4440.671128
8081.758685,-517.286181,-5009.105529,8098.296638
7991.718507,4557.099624,2135.895184,9199.713131
8356.806825,-4978.697231,721.013520,9727.468655
3932.137378,1802.438433,2136.187060,4325.562237
10069.262789,-3195.742798,-3367.515700,10564.223831
5612.695857,2749.506576,-3389.454488,6249.971296
10348.195881,-3317.314757,3066.633168,10866.910103
8135.930365,-369.829345,5020.674984,8144.331566
11082.121703,3082.911940,2654.286675,11502.946035
8035.462047,4531.306654,2186.221011,9225.041480
5935.412793,-4264.711550,-1544.777339,7308.685903
11574.066228,3346.901380,-1487.315575,12048.267838
11273.273115,1568.179460,3599.290031,11381.822066
9304.402854,-4882.439680,-336.348345,10507.622456
7544.536105,-526.900794,-4970.393625,7562.912764
7703.364915,4121.898156,-2861.196867,8736.811513
5040.159221,-1135.713777,3816.217527,5166.531792
3846.674698,2651.507302,101.871439,4671.980009
7704.845755,4038.735122,2975.852903,8699.197060
8389.464938,1050.021079,4916.731558,8454.919645
9860.070933,-3407.578151,3267.871963,10432.285831
11310.767569,3890.631308,-165.176219,11961.207087
11119.066070,3452.398548,2108.669528,11642.709565
11671.608961,636.591917,-3514.035143,11688.956540
5924.489007,1553.533650,-4253.382331,6124.788715
9108.736517,-4686.201388,1547.209918,10243.513283
4102.638424,-2942.557061,-723.828212,5048.790360
4284.568220,-2898.739001,1491.906180,5173.027414
11391.971385,2452.531739,2933.744191,11652.979189
4535.152718,-2441.065674,2553.820479,5150.379773
10980.344134,4122.282181,390.797622,11728.647308
5517.279232,-1140.676265,-4151.880977,5633.960638
4150.933605,1132.086922,-2881.135329,4302.542340
5492.602126,4238.393351,-672.733814,6937.770270
11024.118096,844.231797,4023.294339,11056.396661
11408.287068,3758.425702,-647.047721,12011.443609
4172.482756,-2872.902716,1221.065505,5065.884164
4315.928548,-3109.450418,-1084.194305,5319.391049
9778.443119,-3748.672114,2921.806947,10472.368044
11141.347001,3811.432492,-1309.953352,11775.255014
8827.671864,-4934.921987,709.706980,10113.419083
5798.297837,593.976652,4424.816179,5828.641872
5795.121840,-3867.028234,-2236.407893,6966.874802
5251.548031,3652.747429,1942.824874,6396.977450
8245.452338,3507.530617,-3606.279462,8960.482983
7914.975641,4840.492893,1367.224849,9277.780491
3950.419223,2571.879336,-1158.226198,4713.849314
3919.035113,-2649.510013,809.004291,4730.617246
10785.673437,-2281.245158,-3614.294798,11024.283693
9932.533205,-3728.237213,-2858.056947,10609.192645
8278.599639,3513.466243,3603.062036,8993.311794
10658.221274,-2018.635896,-3853.130117,10847.698909
4417.340646,-19.768581,3411.738918,4417.384880
11209.291004,1263.179992,3771.054352,11280.240623
4458.589850,-78.780069,-3452.193801,4459.285789
11211.236847,1703.273086,-3590.779932,11339.884075
5209.005070,3932.623141,1183.806985,6526.810752
9189.958614,-4739.806619,-1321.894837,10340.266250
4025.574502,1443.268264,2545.731296,4276.479084
11555.670485,2078.931085,-3039.127768,11741.187113
6666.183404,-2921.611297,-3833.040876,7278.311188
5604.265225,2816.824324,3322.968086,6272.343101
9347.672492,-4700.369059,-1323.862379,10462.908310
11693.245844,-165.804441,-3542.680216,11694.421297
6006.472035,-4542.646894,492.048568,7530.826456
6851.237693,-3026.971080,-3817.442888,7490.127625
9296.153130,-3848.922681,3019.709489,10061.444669
4155.244282,-3103.196065,65.049002,5186.123876
7737.683223,-78.534035,-5017.644325,7738.081755
4586.317718,1313.746111,3337.468916,4770.769231
4187.488527,1098.141148,2937.162727,4329.084678
11522.616054,473.413263,-3683.889309,11532.337180
3979.214831,2052.933529,1992.157207,4477.575990
7680.333621,-1261.349014,-4854.301132,7783.220790
4119.312579,1747.921792,-2502.053483,4474.814713
5858.193696,-816.314954,-4419.181617,5914.795304
8292.883172,4210.596676,-2757.763394,9300.593297
10927.750363,130.250106,4180.136121,10928.526575
5693.154890,-3892.187567,-2069.889587,6896.458269
7750.572654,-1941.877711,-4632.179235,7990.135512
11276.960907,-935.867755,-3812.461969,11315.727805
5257.256607,-2199.805768,-3510.698084,5698.937835
11116.814803,-2013.458496,3509.763332,11297.680580
11156.528016,568.786567,3979.320541,11171.017658
7601.614474,3801.817643,3260.402523,8499.315267
4799.534863,-2670.148274,-2681.538069,5492.287930
8097.920641,-623.305961,-4993.380804,8121.873492
5525.878255,2004.328464,-3819.214070,5878.151332
5578.693593,498.524609,4314.189686,5600.923941
5166.866833,4076.732621,10.955035,6581.509077
4059.479881,0.284862,2972.486341,4059.479891
3811.294439,2204.837103,-1374.610378,4403.097995
9473.574203,-3905.495221,-2875.810888,10247.024012
7828.122736,3785.313488,3306.772330,8695.292047
8467.551168,3831.764937,-3243.848416,9294.183413
3688.060734,2230.171097,834.017556,4309.925185
5961.914313,-4542.091005,198.631181,7494.999198
11643.006800,3596.528293,186.900456,12185.836988
4451.893273,-2725.314712,2107.616936,5219.836587
10669.568312,-1646.272696,4016.225356,10795.827979
8327.738952,207.953688,-5025.508883,8330.334975
